genes,t_stats,p_values,fdr_corrected_p
EML6,0.91998323648788,0.35850526871657806,0.8526199599036526
MYO5A,0.9785840010795196,0.32877094932168727,0.8375500777896137
COMT,0.058599936351397534,0.953319523340251,0.984588790340795
NFYC,0.38072608267616453,0.7037432858298188,0.9507085399421508
LMNTD1,-2.343999756124023,0.019894786398307635,0.4054507101427252
EDN3,0.08854880935421426,0.9295143359059339,0.9794916357866792
KMT2B,-0.976840951659285,0.32963148865752556,0.8375500777896137
FGFR1OP2,1.0704008708535895,0.2855141991470003,0.827294381660711
RPS6KB1,1.0292722782427306,0.3043879202191567,0.827294381660711
SLCO1C1,1.3797992465744024,0.1689325570602948,0.7189762992715542
SHMT2,0.6378797142327212,0.5241601058774592,0.9123219140137397
CD1E,1.3904697652306925,0.16567430741824216,0.7189762992715542
DNTTIP2,2.077170431593798,0.03884974538114458,0.5218988596833762
MRPS35,-0.4687741236737593,0.6396566097414713,0.939288264955247
BCAS1,-1.0649189164272879,0.2879828211501811,0.827294381660711
LYSMD2,1.654483879640434,0.09933641117462029,0.6864018111207668
STEAP4,-2.8672684923785883,0.004508420462033569,0.24195362129608802
SLC2A1,-1.3805544297145835,0.1687003823150382,0.7189762992715542
LPP,0.00393826370067408,0.9968609998394105,0.9987195824034882
KIF5A,0.4339845037912899,0.6646895650229239,0.9477586771893144
CEBPA,-0.8293339910473194,0.4077395277539375,0.8684364720907436
NEDD8,-0.47428626156309006,0.6357270136078431,0.938814720786086
CTSZ,0.4481120136340181,0.654476612710855,0.9447462471653527
BICD1,0.6298132002096505,0.5294159350156739,0.9145489864541148
MFSD2A,-1.4632625028553514,0.1447039691318061,0.7189762992715542
CHMP4A,1.4231510323961711,0.15599097014286645,0.7189762992715542
TRIM44,-2.120582970073933,0.03498300483565046,0.49405822618769507
EIF2S2,-1.3737079944163033,0.1708140889462242,0.7189762992715542
JMJD1C,-0.3991537085030279,0.69013489266546,0.9507085399421508
TMEM199,4.079905256323114,6.135203745549005e-05,0.04938839015166949
GDPD5,-0.9784848480375825,0.3288198615951826,0.8375500777896137
STRN3,0.44493638589295303,0.6567667372958301,0.9447462471653527
OCM2,0.30288657808517583,0.7622386636499241,0.9673470204671337
MFSD11,0.03460400226389601,0.9724242726091712,0.9885693314888108
GLI1,0.8240611335760368,0.4107230019309569,0.8684364720907436
SINHCAF,1.5929660738883822,0.11248394821073157,0.7052575556013689
PDE3A,-0.914443291703706,0.3614017514768334,0.8549100009798578
LSR,-0.5860060498331083,0.5584221340262383,0.9202477346414158
NOC2L,2.9071125311431034,0.003989320366870015,0.24195362129608802
NPEPL1,-0.6954314428082992,0.48745776334725777,0.8979485114291591
SERPINA12,2.076412111043843,0.03892041282820236,0.5218988596833762
SARS2,-1.109231983503741,0.2684403585185367,0.827294381660711
SCN1B,1.3295853466933234,0.18491727767405,0.7243718176526046
EHF,0.9416095536470145,0.3473393872882923,0.8451964676789492
TBX4,-1.0335413405116154,0.3023909618087894,0.827294381660711
OC90,0.15373675895431313,0.8779464896567624,0.9763984461847085
RAB39B,0.3393070256862533,0.7346751645187037,0.960866787063455
KCNJ9,-1.0006366280782848,0.3180103161597996,0.827294381660711
TFPI2,-1.2804579860011007,0.20162022677941366,0.7602074124469694
MED1,-1.8233819015824724,0.06948943838114359,0.6140035366816882
GDI1,0.6047936871482743,0.5458874582717191,0.918551226762813
ATP5PD,0.14936203857287658,0.8813933986995117,0.9763984461847085
SH2D2A,0.8988363368570372,0.36964073251053786,0.8613474616185264
CLCF1,1.7069511781164652,0.08912448757007418,0.6623325794588846
ABTB2,0.1749151994232086,0.8612937386186783,0.9763984461847085
TPRG1,1.0517893357739547,0.29395405552175097,0.827294381660711
SERPINA4,-0.678679857048707,0.4979946318558256,0.9022161164049712
DR1,1.6240797097834154,0.1056714008534317,0.7014515494709797
OTUB1,1.5926125363783952,0.11256331401697435,0.7052575556013689
DHRS4,-2.9318864282068935,0.0036947145417437015,0.24195362129608802
AKAP6,-0.37103773616739505,0.7109367316687101,0.9507085399421508
MYEOV,0.10394534584496724,0.9172995304183458,0.9794916357866792
SYT12,-0.343343274125014,0.7316407997869478,0.9584554008600374
WBP2,0.5195930542908554,0.6038261096723944,0.9232716573103205
BAZ2A,1.4130935481203284,0.158923807009871,0.7189762992715542
CABCOCO1,0.08409860948573891,0.9330481360251215,0.9794916357866792
