Sample Name	Model ID	Feature ID	Classification	All Genes
5637_URINARY_TRACT	ACH-000905	5637_URINARY_TRACT_amplicon1_ecDNA_1	ecDNA	['CASC15', 'CDKAL1', 'E2F3', 'HDGFL1', 'NBAT1', 'PRL', 'SOX4']
5637_URINARY_TRACT	ACH-000905	5637_URINARY_TRACT_amplicon1_ecDNA_2	ecDNA	['ARPC4', 'ARPC4-TTLL3', 'ATG7', 'ATP2B2', 'ATP2B2-IT2', 'BRK1', 'BRPF1', 'CAMK1', 'CAND2', 'CIDEC', 'CIDECP1', 'CPNE9', 'CRELD1', 'EMC3', 'EMC3-AS1', 'FANCD2', 'FANCD2OS', 'FBLN2', 'FGD5P1', 'GHRL', 'GHRLOS', 'HDAC11', 'HDAC11-AS1', 'HRH1', 'IL17RC', 'IL17RE', 'IQSEC1', 'IRAK2', 'JAGN1', 'LHFPL4', 'MKRN2', 'MKRN2OS', 'MTMR14', 'NUP210', 'OGG1', 'PPARG', 'PRRT3', 'PRRT3-AS1', 'RAF1', 'RPL32', 'RPUSD3', 'SEC13', 'SETD5', 'SLC6A1', 'SLC6A1-AS1', 'SLC6A11', 'SNORA7A', 'SNORA93', 'SRGAP3', 'SRGAP3-AS2', 'SRGAP3-AS3', 'SRGAP3-AS4', 'SYN2', 'TADA3', 'TAMM41', 'TATDN2', 'THUMPD3', 'THUMPD3-AS1', 'TIMP4', 'TMEM40', 'TPRXL', 'TSEN2', 'TTLL3', 'VGLL4', 'VHL', 'WNT7A']
59M_OVARY	ACH-000520	59M_OVARY_amplicon1_Complex non-cyclic_1	Complex non-cyclic	['ABCA1', 'DNAJC25', 'DNAJC25-GNG10', 'ECPAS', 'GNG10', 'ITGA1', 'LPAR1', 'LRRC37A5P', 'MUSK', 'NIPSNAP3A', 'NIPSNAP3B', 'OR13C2', 'OR13C3', 'OR13C4', 'OR13C5', 'OR13C8', 'OR13C9', 'OR13D1', 'OR13F1', 'OR2K2', 'PELO', 'PTGR1', 'SHOC1', 'SLC44A1', 'UGCG', 'ZNF483']
59M_OVARY	ACH-000520	59M_OVARY_amplicon2_ecDNA_2	ecDNA	['MTSS1', 'NDUFB9', 'NSMCE2', 'SQLE', 'TATDN1', 'TRIB1', 'WASHC5', 'ZNF572']
59M_OVARY	ACH-000520	59M_OVARY_amplicon2_ecDNA_1	ecDNA	['ATP6V1H', 'LYN', 'LYPLA1', 'MRPL15', 'NPBWR1', 'OPRK1', 'RB1CC1', 'RGS20', 'RNU105C', 'RP1', 'SBF1P1', 'SNORA1B', 'SOX17', 'TCEA1', 'TGS1', 'TMEM68', 'XKR4']
59M_OVARY	ACH-000520	59M_OVARY_amplicon3_Linear amplification_1	Linear amplification	['DCT', 'GPC6-AS1', 'GPC6-AS2', 'GPR180', 'SNORD13G', 'SOX21', 'SOX21-AS1', 'TGDS']
59M_OVARY	ACH-000520	59M_OVARY_amplicon4_Linear amplification_1	Linear amplification	['CCDC168', 'FGF14', 'FGF14-AS1', 'FGF14-AS2', 'FGF14-IT1', 'METTL21C', 'TPP2']
59M_OVARY	ACH-000520	59M_OVARY_amplicon5_Linear amplification_1	Linear amplification	[]
8305C_THYROID	ACH-001306	8305C_THYROID_amplicon1_ecDNA_1	ecDNA	['AHCY', 'DUSP26', 'DYNLRB1', 'FUT10', 'ITCH', 'MAK16', 'MAP1LC3A', 'RNF122', 'SNORD13', 'TTI2']
A101D_SKIN	ACH-000008	A101D_SKIN_amplicon1_BFB_1	BFB	['AGBL3', 'BPGM', 'CALD1']
